"STATISTIC","Statistic Label","TLIST(A1)","Year","C01940V02373","Form of Ceremony","UNIT","VALUE"
"VSA42C02","Average Age of Bride","2020","2020","3","Presbyterian","Years","30.318685825"
"VSA42C02","Average Age of Bride","2020","2020","7","Other religious denominations","Years","35.9888450533527"
"VSA42C02","Average Age of Bride","2020","2020","8","Civil marriages","Years","37.9775701275998"
"VSA42C02","Average Age of Bride","2020","2020","9","The Humanist Association","Years","35.4164862751783"
"VSA42C02","Average Age of Bride","2020","2020","10","The Spiritualist Union of Ireland","Years","35.2114543835504"
"VSA42C02","Average Age of Bride","2021","2021","-","All ceremonies","Years","35.4"
"VSA42C02","Average Age of Bride","2021","2021","1","Roman Catholic","Years","33.2"
"VSA42C02","Average Age of Bride","2021","2021","2","Church of Ireland","Years","34.6"
"VSA42C02","Average Age of Bride","2021","2021","3","Presbyterian","Years","30.2"
"VSA42C02","Average Age of Bride","2021","2021","7","Other religious denominations","Years","35.8"
"VSA42C02","Average Age of Bride","2021","2021","8","Civil marriages","Years","38"
"VSA42C02","Average Age of Bride","2021","2021","9","The Humanist Association","Years","35.1"
"VSA42C02","Average Age of Bride","2021","2021","10","The Spiritualist Union of Ireland","Years","35.4"
